name,lat,lon,distance,type
Paul's Cocktail Lounge,40.719411,-74.004873,508,"{'typepoint': {'type': 'Point', 'coordinates': [40.719411, -74.004873]}}"
The Up and Up,40.729613,-74.000606,715,"{'typepoint': {'type': 'Point', 'coordinates': [40.729613, -74.000606]}}"
Madame X,40.727202,-74.00003,439,"{'typepoint': {'type': 'Point', 'coordinates': [40.727202, -74.00003]}}"
Goldbar,40.720433,-73.997013,499,"{'typepoint': {'type': 'Point', 'coordinates': [40.720433, -73.997013]}}"
Paradise Garage,40.72784,-74.006299,635,"{'typepoint': {'type': 'Point', 'coordinates': [40.72784, -74.006299]}}"
Botanica Bar,40.724693,-73.994714,614,"{'typepoint': {'type': 'Point', 'coordinates': [40.724693, -73.994714]}}"
The Vig Bar,40.72116,-73.994618,643,"{'typepoint': {'type': 'Point', 'coordinates': [40.72116, -73.994618]}}"
The Palace,40.721072,-74.00427,335,"{'typepoint': {'type': 'Point', 'coordinates': [40.721072, -74.00427]}}"
Sonny's Soda Shoppe,40.719833,-74.000046,418,"{'typepoint': {'type': 'Point', 'coordinates': [40.719833, -74.000046]}}"
The Outpost,40.723951,-73.996584,439,"{'typepoint': {'type': 'Point', 'coordinates': [40.723951, -73.996584]}}"
