name,lat,lon,distance,type
Le Botaniste,40.720398,-74.000286,341,"{'typepoint': {'type': 'Point', 'coordinates': [40.720398, -74.000286]}}"
Sweetgreen,40.729937,-74.002583,736,"{'typepoint': {'type': 'Point', 'coordinates': [40.729937, -74.002583]}}"
Wild Ginger Vegetarian Kitchen,40.7205,-73.996536,538,"{'typepoint': {'type': 'Point', 'coordinates': [40.7205, -73.996536]}}"
Sweetgreen,40.721222,-74.00966,710,"{'typepoint': {'type': 'Point', 'coordinates': [40.721222, -74.00966]}}"
Jajaja,40.729849,-74.00458,762,"{'typepoint': {'type': 'Point', 'coordinates': [40.729849, -74.00458]}}"
Zooba,40.72118,-73.997304,440,"{'typepoint': {'type': 'Point', 'coordinates': [40.72118, -73.997304]}}"
Hudson Clearwater,40.731169,-74.006867,960,"{'typepoint': {'type': 'Point', 'coordinates': [40.731169, -74.006867]}}"
Spicy Moon Vegan,40.729301,-73.998192,730,"{'typepoint': {'type': 'Point', 'coordinates': [40.729301, -73.998192]}}"
Spring Cafe,40.717807,-74.000358,627,"{'typepoint': {'type': 'Point', 'coordinates': [40.717807, -74.000358]}}"
Metrograph,40.715144,-73.991174,1294,"{'typepoint': {'type': 'Point', 'coordinates': [40.715144, -73.991174]}}"
