name,lat,lon,distance,type
11th Ave Bridge,40.7529,-74.003317,209,"{'typepoint': {'type': 'Point', 'coordinates': [40.7529, -74.003317]}}"
MTA Bus - M23 - West 24th St & 11th Ave,40.749986,-74.007308,317,"{'typepoint': {'type': 'Point', 'coordinates': [40.749986, -74.007308]}}"
MTA bus M23,40.748925,-74.006654,409,"{'typepoint': {'type': 'Point', 'coordinates': [40.748925, -74.006654]}}"
MTA Bus - W 23rd St & 9th Ave,40.746405,-74.000823,774,"{'typepoint': {'type': 'Point', 'coordinates': [40.746405, -74.000823]}}"
"Tripper Bus From NYC To Bethesda,MD",40.75095,-73.99564,856,"{'typepoint': {'type': 'Point', 'coordinates': [40.75095, -73.99564]}}"
Tripper Bus,40.750646,-73.988945,866,"{'typepoint': {'type': 'Point', 'coordinates': [40.750646, -73.988945]}}"
MTA MaBSTOA Bus - M8 / M9 / M14D At Avenue C / 10th St,40.744134,-74.006246,923,"{'typepoint': {'type': 'Point', 'coordinates': [40.744134, -74.006246]}}"
MTA Bus - M12,40.743538,-74.008318,1018,"{'typepoint': {'type': 'Point', 'coordinates': [40.743538, -74.008318]}}"
Gate 303,40.757493,-73.995155,1035,"{'typepoint': {'type': 'Point', 'coordinates': [40.757493, -73.995155]}}"
Gate 415,40.758178,-73.99575,1035,"{'typepoint': {'type': 'Point', 'coordinates': [40.758178, -73.99575]}}"
